"","id","outliersPro","estimated_rate_Before_Handling","estimated_rate_After_Q_b_F_C","estimated_rate_After_mean","estimated_rate_After_median","Before_P_value","Q_b_F_C_P_value","mean_P_value","median_P_value"
"75",887,0.00367647058823529,0.120510592021097,0.121507283121451,0.122676261300593,0.12284989415906,0.6355,0.7895,0.8075,0.795
"76",889,0.0431131019036954,0.467353338531312,0.486359571173457,0.547482913364452,0.556679032254973,0,0.058,0.3545,0.106
"77",893,0.032520325203252,0.345426446634364,0.355208228173482,0.384255827173781,0.386743721857142,0.886,0.9955,1,1
"78",903,0.0550996483001172,0.211927018371744,0.227666648259308,0.270288124392231,0.276110821352707,0,0.0025,0.0385,0.0055
"79",912,0.0369515011547344,0.687868742372599,0.703659447209621,0.787420774761078,0.799615268093406,0.0025,0.0055,0.0725,0.0265
"80",922,0.0455075845974329,0.196111423577537,0.204290544614747,0.228835600587734,0.230927002694718,0.3705,0.988,1,0.9995
"81",931,0.0692554043234588,0.933223585675983,1.02703330106957,1.29182675124064,1.33604480103197,0,0,0,0
"82",932,0.119433198380567,0.905815381176739,1.37521152268372,2.15726245859021,2.31299874654548,0,0,0.001,0
"83",935,0.0935046395431834,0.291812619188991,0.379652988722853,0.519025249455894,0.54589794813271,0,0,0,0
"84",954,0.0345104333868379,0.46783552925645,0.483646248190011,0.529219370695108,0.535710708592351,0.033,0.903,0.9985,0.987
"85",956,0.0223463687150838,0.377104536361747,0.381220341721698,0.404435953003968,0.406790186890616,0.918,0.966,0.9925,0.992
"86",959,0.0161725067385445,0.412001092146509,0.415032982877102,0.433164442116819,0.435102433278167,0.946,0.97,0.9955,0.991
"87",986,0.0258064516129032,0.648408195077636,0.658808184291633,0.705110482941978,0.709884818166382,0.7415,0.923,0.9805,0.975
"88",988,0.0484472049689441,0.628510564458215,0.648700918126611,0.741874844646235,0.754553974930577,0.0035,0.3655,0.9345,0.77
"89",999,0.00515463917525773,0.591391787248208,0.592056627924517,0.601337682983243,0.602614427801536,0.4115,0.412,0.478,0.454
"90",1000,0.142276422764228,0.374200058091752,0.587305837589539,1.12694945986992,1.27585641322397,0,0,0,0
"91",1003,0.0243243243243243,0.0767109882984018,0.0866179064236964,0.0956923295248156,0.0967525230614464,0,0.1185,0.747,0.6505
"92",1020,0.0379266750948167,0.170209979424232,0.174462722964161,0.19338745746658,0.195625978983423,0.22,0.6965,0.966,0.906
"93",1025,0.0634920634920635,0.349884992833417,0.383275922930854,0.466970928624656,0.480263967770833,0,0.003,0.037,0.0035
"94",1029,0.0906735751295337,0.35825139409071,0.403824633201522,0.523376857266405,0.543449569856898,0,0.067,0.568,0.1405
"95",1032,0.0605714285714286,0.7293096565708,0.783673092749132,0.945777289561097,0.971413012572188,0,0,0.0155,0.0025
"96",1034,0.124299065420561,0.631911216554221,0.870196844766273,1.40405235550723,1.52648886460356,0,0,0,0
"97",1042,0.0778816199376947,0.790275961737612,0.876327320231334,1.12599438935427,1.16761061935515,0,0,0.0015,0
"98",1052,0.0623608017817372,0.742048929824714,0.804718385968611,0.988268706271571,1.0166862574067,0,0.004,0.033,0.007
"99",1057,0.0362903225806452,0.0533422647676934,0.0532570258706737,0.0514287893317063,0.0509955171934119,1,1,1,1
"100",1064,0.0488301119023398,0.637793992635599,0.658658335227588,0.740417459830154,0.747376307348931,0.987,1,1,1
"101",1090,0.071882951653944,0.684113213820882,0.741183866549956,0.916571954485126,0.939539086539355,0,0.039,0.858,0.4645
"102",1094,0.0450549450549451,0.407846431984962,0.42029593168819,0.482474664902801,0.491214363860002,0,0.0245,0.2565,0.097
"103",1113,0.00961538461538462,0.568926709042769,0.57099664322092,0.586282135704061,0.588033887363342,0.62,0.668,0.7285,0.727
"104",1117,0.0533333333333333,0.338911482738025,0.365655316287696,0.430555782705393,0.439719862827348,0,0.0365,0.366,0.149
"105",1125,0.0981856990394877,0.206236836768214,0.229442911828042,0.313522724108309,0.327969652528083,0,0,0.002,0
"106",1128,0.00198019801980198,0.106263613016155,0.106398937549754,0.107135345922192,0.107209643517232,0.613,0.6545,0.716,0.6885
"107",1132,0.0130331753554502,0.376290993350318,0.385021355105061,0.400938626787411,0.402706233320981,0.009,0.3085,0.5405,0.4995
"108",1135,0.00892857142857143,0.0547191685979998,0.0548954134763697,0.0555328028233979,0.0553684838355648,1,1,1,1
"109",1154,0.0764818355640535,0.367870795129314,0.421157148996957,0.534111451822819,0.549706522114986,0,0.001,0.2235,0.0245
"110",1157,0.0130548302872063,0.395328647585875,0.398144705017929,0.414337388489936,0.416137238799014,0.4015,0.5085,0.6715,0.622
"111",1165,0.0574506283662478,0.768327674871528,0.837189549082976,1.00255439469682,1.02711071673324,0,0,0.007,0.001
"112",1172,0.0170157068062827,0.419805848911252,0.428467517704049,0.448193722791737,0.45026764204423,0.9105,1,1,1
"113",1174,0.101785714285714,0.164728139405961,0.182500439624104,0.253226365312286,0.264074226232126,0,0.0035,0.1135,0.014
"114",1184,0.0584016393442623,0.825360872379828,0.887566141348937,1.05762632278767,1.08086026866456,0,0.042,0.54,0.2415
"115",1188,0.0421286031042129,0.340522993685725,0.354866882910243,0.395534771513696,0.401508996682911,0.191,0.8205,0.977,0.9365
"116",1215,0.00789473684210526,0.502161350433047,0.50502356288707,0.518080027301743,0.519834852927931,0.019,0.0395,0.069,0.052
"117",1225,0.0306122448979592,0.408385420795865,0.413246312381295,0.445676933023454,0.448650040618689,0.9965,0.999,1,1
"118",1233,0,0.0760598654460427,0.0760598654460427,0.0760598654460427,0.0760598654460427,1,1,1,1
"119",1245,0.0695924764890282,0.643972341488392,0.695012538909381,0.860563264871996,0.886296438670651,0,0,0.006,5e-04
"120",1260,0.0791788856304985,0.79640695875281,0.94280720214041,1.20041670630576,1.22423702595466,0,0.181,0.834,0.7025
"121",1278,0,0.308082455898015,0.308082455898015,0.308082455898015,0.308082455898015,0.971,0.967,0.9615,0.967
"122",1298,0.0268276324614353,0.373618610629254,0.37994241549476,0.412599661521908,0.41687202441795,0.0185,0.278,0.8715,0.7395
"123",1326,0.00621761658031088,0.473504272550016,0.476246943168047,0.484143610181528,0.484795371797412,0.9995,1,1,1
"124",1331,0.0291519434628975,0.241438331032041,0.245971983673407,0.266705473878277,0.268918295358057,0.382,0.8685,0.9965,0.9855
"125",1334,0.0748031496062992,0.604996779691118,0.677079706535566,0.832547691352669,0.849897849496302,0.001,0.6025,0.9815,0.944
"126",1354,0.055735056542811,0.553180232855735,0.575095549356623,0.663398435775471,0.671506397775824,0.263,0.997,1,1
"127",1357,0,0.102880566197211,0.102880566197211,0.102880566197211,0.102880566197211,1,1,0.9995,1
"128",1366,0.162162162162162,0.994921649756207,2.57227815113145,5.71080927494739,6.52944736125565,0,0,0,0
"129",1374,0.0596205962059621,0.754928213209133,0.795709260191483,0.942581168067282,0.959061553033101,0.0105,0.427,0.9675,0.911
"130",1376,0.0449438202247191,2.01091652900199,2.0723377958967,2.25185446010003,2.26925038213649,0.998,1,1,1
"131",1383,0.00704225352112676,0.439345671593804,0.439539320928161,0.447740456410294,0.448498161089441,1,1,1,1
"132",1395,0.123655913978495,0.923457560219993,1.08953728874813,1.49871276052907,1.54623819819178,0.008,0.7995,0.9995,0.991
"133",1403,0.0838509316770186,0.241948612416931,0.276499670279508,0.356223905294205,0.368177423390925,0,0.02,0.2735,0.0535
"134",1414,0.114572864321608,0.216345919497643,0.2611908442454,0.397304753972129,0.424795584293183,0,0,0,0
"135",1451,0.115248226950355,0.436355005488296,0.53922031411462,0.783822296133046,0.822540126617572,0,0.0025,0.1975,0.018
"136",1484,0.126539753639418,0.437560873556189,0.655532634529379,1.1336916302973,1.26334949033493,0,0,0,0
"137",1499,0.0991735537190083,0.838386390613008,1.07626501725513,1.46599792077682,1.51821703173593,0,0.125,0.643,0.3885
"138",1531,0.00401284109149278,0.472987536066256,0.474504211435058,0.479520298761973,0.480107066391408,0.9965,1,1,1
